testNo, repeatNo, agentNo, agentID, agentType, agentTypeNo, x, y, z, yaw, vel_x, vel_y, vel_z, speed, time, sim_time, fps
0, 0, 2, 1680, walker.pedestrian.0002, 1, -22.909, -67.697, 0.947, -1.698, -0.191, -1.488, 0.000, 1.500, 3.500, 981.604, 0.000
0, 0, 1, 1679, vehicle.mercedes-benz.coupe, 3, -22.493, -12.077, 0.130, -0.560, 4.445, -2.095, -0.010, 4.914, 3.600, 981.704, 0.000
0, 0, 2, 1680, walker.pedestrian.0002, 1, -22.927, -67.846, 0.947, -1.697, -0.190, -1.488, 0.000, 1.500, 3.600, 981.704, 0.000
0, 0, 1, 1679, vehicle.mercedes-benz.coupe, 3, -22.057, -12.296, 0.130, -0.533, 4.380, -2.108, -0.004, 4.861, 3.700, 981.804, 0.000
0, 0, 2, 1680, walker.pedestrian.0002, 1, -22.946, -67.995, 0.946, -1.697, -0.189, -1.488, 0.000, 1.500, 3.700, 981.804, 0.000
0, 0, 1, 1679, vehicle.mercedes-benz.coupe, 3, -21.637, -12.533, 0.129, -0.530, 4.085, -2.540, -0.002, 4.810, 3.800, 981.904, 0.000
0, 0, 2, 1680, walker.pedestrian.0002, 1, -22.965, -68.143, 0.946, -1.697, -0.189, -1.488, 0.000, 1.500, 3.800, 981.904, 0.000
0, 0, 1, 1679, vehicle.mercedes-benz.coupe, 3, -21.232, -12.791, 0.129, -0.542, 4.005, -2.646, -0.001, 4.800, 3.900, 982.004, 0.000
0, 0, 2, 1680, walker.pedestrian.0002, 1, -22.982, -68.292, 0.946, -1.692, -0.185, -1.489, 0.000, 1.500, 3.900, 982.004, 0.000
0, 0, 1, 1679, vehicle.mercedes-benz.coupe, 3, -20.837, -13.062, 0.129, -0.561, 3.866, -2.814, -0.000, 4.782, 4.000, 982.104, 0.000
0, 0, 2, 1680, walker.pedestrian.0002, 1, -23.000, -68.441, 0.945, -1.690, -0.181, -1.489, 0.000, 1.500, 4.000, 982.104, 0.000
0, 0, 1, 1679, vehicle.mercedes-benz.coupe, 3, -20.449, -13.340, 0.129, -0.578, 3.840, -2.841, -0.000, 4.777, 4.100, 982.204, 0.000
0, 0, 2, 1680, walker.pedestrian.0002, 1, -23.017, -68.590, 0.945, -1.689, -0.178, -1.489, 0.000, 1.500, 4.100, 982.204, 0.000
0, 0, 1, 1679, vehicle.mercedes-benz.coupe, 3, -20.069, -13.627, 0.129, -0.599, 3.734, -2.958, -0.000, 4.764, 4.200, 982.304, 0.000
