testNo ,repeatNo, agentNo, agentID, agentType, agentTypeNo, x, y, z, yaw, vel_x, vel_y, vel_z, speed, time, sim_time, fps
0, 0, 2, 265, vehicle.mercedes-benz.coupe, 3, -0.389, -134.867, 0.129, -3.120, -5.212, -0.093, 0.000, 5.213, 5.900, 294.727, 0.000
0, 0, 1, 264, vehicle.mercedes-benz.coupe, 3, -4.664, -115.859, 0.129, -1.535, 0.168, -5.212, -0.000, 5.215, 6.000, 294.827, 0.000
0, 0, 2, 265, vehicle.mercedes-benz.coupe, 3, -0.910, -134.875, 0.129, -3.122, -5.215, -0.061, -0.000, 5.215, 6.000, 294.827, 0.000
0, 0, 1, 264, vehicle.mercedes-benz.coupe, 3, -4.648, -116.380, 0.129, -1.537, 0.121, -5.215, 0.000, 5.217, 6.100, 294.927, 0.000
0, 0, 2, 265, vehicle.mercedes-benz.coupe, 3, -1.432, -134.881, 0.129, -3.124, -5.217, -0.055, -0.000, 5.217, 6.100, 294.927, 0.000
0, 0, 1, 264, vehicle.mercedes-benz.coupe, 3, -4.637, -116.902, 0.129, -1.541, 0.098, -5.218, 0.000, 5.219, 6.200, 295.027, 0.000
0, 0, 2, 265, vehicle.mercedes-benz.coupe, 3, -1.954, -134.886, 0.129, -3.127, -5.219, -0.031, -0.000, 5.219, 6.200, 295.027, 0.000
0, 0, 1, 264, vehicle.mercedes-benz.coupe, 3, -4.618, -117.423, 0.129, -1.538, 0.230, -5.212, -0.000, 5.217, 6.300, 295.127, 0.000
0, 0, 2, 265, vehicle.mercedes-benz.coupe, 3, -2.475, -134.894, 0.129, -3.127, -5.214, -0.146, 0.000, 5.216, 6.300, 295.127, 0.000
0, 0, 1, 264, vehicle.mercedes-benz.coupe, 3, -4.595, -117.944, 0.129, -1.534, 0.250, -5.213, 0.000, 5.219, 6.400, 295.227, 0.000
0, 0, 2, 265, vehicle.mercedes-benz.coupe, 3, -2.997, -134.910, 0.129, -3.121, -5.213, -0.204, -0.000, 5.217, 6.400, 295.227, 0.000
0, 0, 1, 264, vehicle.mercedes-benz.coupe, 3, -4.575, -118.466, 0.129, -1.535, 0.172, -5.216, 0.000, 5.219, 6.500, 295.327, 0.000
0, 0, 2, 265, vehicle.mercedes-benz.coupe, 3, -3.518, -134.930, 0.129, -3.115, -5.214, -0.224, 0.000, 5.218, 6.500, 295.327, 0.000
0, 0, 1, 264, vehicle.mercedes-benz.coupe, 3, -4.559, -118.987, 0.129, -1.536, 0.161, -5.217, 0.000, 5.219, 6.600, 295.427, 0.000
0, 0, 2, 265, vehicle.mercedes-benz.coupe, 3, -4.040, -134.946, 0.129, -3.114, -5.217, -0.142, -0.000, 5.219, 6.600, 295.427, 0.000
0, 0, 1, 264, vehicle.mercedes-benz.coupe, 3, -4.545, -119.509, 0.129, -1.539, 0.106, -5.218, 0.000, 5.219, 6.700, 295.527, 0.000
0, 0, 2, 265, vehicle.mercedes-benz.coupe, 3, -4.561, -134.958, 0.129, -3.116, -5.218, -0.099, -0.000, 5.219, 6.700, 295.527, 0.000
0, 0, 1, 264, vehicle.mercedes-benz.coupe, 3, -4.534, -120.031, 0.129, -1.543, 0.097, -5.219, -0.000, 5.220, 6.800, 295.627, 0.000
0, 0, 2, 265, vehicle.mercedes-benz.coupe, 3, -5.083, -134.968, 0.129, -3.118, -5.219, -0.081, 0.000, 5.220, 6.800, 295.627, 0.000
0, 0, 1, 264, vehicle.mercedes-benz.coupe, 3, -4.515, -120.552, 0.129, -1.539, 0.237, -5.212, -0.000, 5.217, 6.900, 295.727, 0.000
0, 0, 2, 265, vehicle.mercedes-benz.coupe, 3, -5.605, -134.976, 0.129, -3.121, -5.219, -0.058, -0.000, 5.220, 6.900, 295.727, 0.000
0, 0, 1, 264, vehicle.mercedes-benz.coupe, 3, -4.492, -121.074, 0.129, -1.535, 0.259, -5.212, -0.000, 5.218, 7.000, 295.827, 0.000
0, 0, 2, 265, vehicle.mercedes-benz.coupe, 3, -6.127, -134.982, 0.129, -3.124, -5.220, -0.047, 0.000, 5.220, 7.000, 295.827, 0.000
0, 0, 1, 264, vehicle.mercedes-benz.coupe, 3, -4.472, -121.595, 0.129, -1.534, 0.181, -5.215, -0.000, 5.218, 7.100, 295.927, 0.000
0, 0, 2, 265, vehicle.mercedes-benz.coupe, 3, -6.649, -134.987, 0.129, -3.127, -5.220, -0.032, -0.000, 5.220, 7.100, 295.927, 0.000
0, 0, 1, 264, vehicle.mercedes-benz.coupe, 3, -4.455, -122.117, 0.129, -1.536, 0.128, -5.217, 0.000, 5.218, 7.200, 296.027, 0.000
0, 0, 2, 265, vehicle.mercedes-benz.coupe, 3, -7.171, -134.991, 0.129, -3.129, -5.220, -0.025, 0.000, 5.220, 7.200, 296.027, 0.000
0, 0, 1, 264, vehicle.mercedes-benz.coupe, 3, -4.443, -122.638, 0.129, -1.540, 0.106, -5.218, -0.000, 5.219, 7.300, 296.127, 0.000
0, 0, 2, 265, vehicle.mercedes-benz.coupe, 3, -7.693, -134.997, 0.129, -3.128, -5.214, -0.149, 0.000, 5.216, 7.300, 296.127, 0.000
0, 0, 1, 264, vehicle.mercedes-benz.coupe, 3, -4.436, -123.160, 0.129, -1.547, -0.105, -5.204, -0.000, 5.205, 7.400, 296.227, 0.000
0, 0, 2, 265, vehicle.mercedes-benz.coupe, 3, -8.214, -135.015, 0.129, -3.121, -5.212, -0.214, -0.000, 5.216, 7.400, 296.227, 0.000
0, 0, 1, 264, vehicle.mercedes-benz.coupe, 3, -4.456, -123.679, 0.129, -1.568, -0.325, -5.191, -0.000, 5.201, 7.500, 296.327, 0.000
0, 0, 2, 265, vehicle.mercedes-benz.coupe, 3, -8.735, -135.031, 0.129, -3.118, -5.215, -0.156, 0.000, 5.218, 7.500, 296.327, 0.000
0, 0, 1, 264, vehicle.mercedes-benz.coupe, 3, -4.489, -124.198, 0.129, -1.590, -0.532, -5.168, -0.000, 5.195, 7.600, 296.427, 0.000
0, 0, 2, 265, vehicle.mercedes-benz.coupe, 3, -9.257, -135.045, 0.129, -3.117, -5.216, -0.149, 0.000, 5.219, 7.600, 296.427, 0.000
0, 0, 1, 264, vehicle.mercedes-benz.coupe, 3, -4.542, -124.714, 0.129, -1.617, -0.665, -5.160, 0.000, 5.203, 7.700, 296.527, 0.000
0, 0, 2, 265, vehicle.mercedes-benz.coupe, 3, -9.779, -135.057, 0.129, -3.118, -5.218, -0.100, 0.000, 5.219, 7.700, 296.527, 0.000
0, 0, 1, 264, vehicle.mercedes-benz.coupe, 3, -4.611, -125.229, 0.129, -1.645, -0.834, -5.139, 0.000, 5.206, 7.800, 296.627, 0.000
0, 0, 2, 265, vehicle.mercedes-benz.coupe, 3, -10.301, -135.067, 0.129, -3.120, -5.219, -0.093, 0.000, 5.220, 7.800, 296.627, 0.000
